Event 2,,,,,,,,,,,,,,,Length Strata,,,Calculated or from Event 1 ,,,,,Length Strata,,
Event,Unique,Crew,Data Page,Date,Time,Tag Number,Fork Length (mm),Recap,Weight (lbs),Area,Area Description,Lat (WGS84),Long (WGS84),Comments,All,Small,Big,Fork Length Corrected (mm),E1 Tag Area,E1 Lat (WGS84),E1 Long (WGS84),Growth (mm),All,Small,Big
2,2096,Roti Groot,1,11/24/2023,,,343,0,,D,,62.855493,-145.60599,N,,,,338,,,,,,,
2,2097,Roti Groot,1,11/24/2023,,,335,0,,D,,62.855493,-145.60599,N,,,,330,,,,,,,
2,2098,Roti Groot,1,11/24/2023,,,366,0,,D,,62.855493,-145.60599,N,yes,yes,,361,,,,,yes,yes,
2,2099,Roti Groot,1,11/24/2023,,,359,0,,D,,62.855493,-145.60599,N,yes,yes,,354,,,,,yes,yes,
2,2100,Roti Groot,1,11/24/2023,,,364,0,,D,,62.855493,-145.60599,N,yes,yes,,359,,,,,yes,yes,
2,2101,Roti Groot,1,11/24/2023,,19701,360,1,,D,,62.855493,-145.60599,N,yes,yes,,357,A,62.98094,-145.51761,3,yes,yes,
2,2102,Roti Groot,1,11/24/2023,,,368,0,,D,,62.855493,-145.60599,N,yes,yes,,363,,,,,yes,yes,
2,2103,Roti Groot,1,11/24/2023,,,359,0,,D,,62.855493,-145.60599,N,yes,yes,,354,,,,,yes,yes,
2,2104,Roti Groot,1,11/24/2023,,,355,0,,D,,62.855493,-145.60599,N,yes,yes,,350,,,,,yes,yes,
2,2105,Roti Groot,1,11/24/2023,,,385,0,,D,,62.855493,-145.60599,N,yes,yes,,380,,,,,yes,yes,
2,2106,Roti Groot,1,11/24/2023,,,398,0,,D,,62.855493,-145.60599,N,yes,yes,,393,,,,,yes,yes,
2,2107,Roti Groot,1,11/24/2023,,,356,0,,D,,62.855493,-145.60599,N,yes,yes,,351,,,,,yes,yes,
2,2108,Roti Groot,1,11/24/2023,,,348,0,,D,,62.855493,-145.60599,N,yes,yes,,343,,,,,,,
2,2109,Roti Groot,1,11/24/2023,,,344,0,,D,,62.855493,-145.60599,N,,,,339,,,,,,,
2,2110,Roti Groot,1,11/24/2023,,,395,0,,D,,62.855493,-145.60599,N,yes,yes,,390,,,,,yes,yes,
2,2111,Roti Groot,1,11/24/2023,,8232,408,1,,D,,62.855493,-145.60599,N,yes,,yes,408,C,62.88469,-145.53191,0,yes,,yes
2,2112,Roti Groot,1,11/24/2023,,,398,0,,D,,62.855493,-145.60599,N,yes,yes,,393,,,,,yes,yes,
2,2113,Roti Groot,1,11/24/2023,,,327,0,,D,,62.855493,-145.60599,N,,,,322,,,,,,,
2,2114,Roti Groot,1,11/24/2023,,,414,0,,D,,62.855493,-145.60599,N,yes,,yes,409,,,,,yes,,yes
2,2115,Roti Groot,1,11/24/2023,,,377,0,,D,,62.855493,-145.60599,N,yes,yes,,372,,,,,yes,yes,
2,2116,Roti Groot,1,11/24/2023,,,363,0,,D,,62.855493,-145.60599,N,yes,yes,,358,,,,,yes,yes,
2,2117,Roti Groot,1,11/24/2023,,,361,0,,D,,62.855493,-145.60599,N,yes,yes,,356,,,,,yes,yes,
2,2118,Roti Groot,1,11/24/2023,,,439,0,,D,,62.855493,-145.60599,N,yes,,yes,433,,,,,yes,,yes
2,2119,Roti Groot,1,11/24/2023,,,405,0,,D,,62.855493,-145.60599,N,yes,,yes,400,,,,,yes,,
2,2120,Roti Groot,1,11/24/2023,,,374,0,,D,,62.855493,-145.60599,N,yes,yes,,369,,,,,yes,yes,
2,2121,Roti Groot,1,11/24/2023,,,393,0,,D,,62.855493,-145.60599,N,yes,yes,,388,,,,,yes,yes,
2,2122,Roti Groot,1,11/24/2023,,,396,0,,D,,62.855493,-145.60599,N,yes,yes,,391,,,,,yes,yes,
2,2123,Roti Groot,1,11/24/2023,,,464,0,,D,,62.855493,-145.60599,N,yes,,yes,458,,,,,yes,,yes
2,2124,Roti Groot,1,11/24/2023,,,430,0,,D,,62.855493,-145.60599,N,yes,,yes,424,,,,,yes,,yes
2,2125,Roti Groot,1,11/24/2023,,,381,0,,D,,62.855493,-145.60599,N,yes,yes,,376,,,,,yes,yes,
2,2126,Roti Groot,1,11/24/2023,,,377,0,,D,,62.855493,-145.60599,N,yes,yes,,372,,,,,yes,yes,
2,2127,Roti Groot,1,11/24/2023,,,398,0,,D,,62.855493,-145.60599,N,yes,yes,,393,,,,,yes,yes,
2,2128,Roti Groot,1,11/24/2023,,,399,0,,D,,62.855493,-145.60599,N,yes,yes,,394,,,,,yes,yes,
2,2129,Roti Groot,1,11/24/2023,,,421,0,,D,,62.855493,-145.60599,N,yes,,yes,416,,,,,yes,,yes
2,2130,Roti Groot,1,11/24/2023,,,388,0,,D,,62.855493,-145.60599,N,yes,yes,,383,,,,,yes,yes,
2,2131,Roti Groot,1,11/24/2023,,,385,0,,D,,62.855493,-145.60599,N,yes,yes,,380,,,,,yes,yes,
2,2132,Roti Groot,1,11/24/2023,,,423,0,,D,,62.855493,-145.60599,N,yes,,yes,418,,,,,yes,,yes
2,2133,Roti Groot,1,11/24/2023,,,376,0,,D,,62.855493,-145.60599,N,yes,yes,,371,,,,,yes,yes,
2,2134,Roti Groot,1,11/24/2023,,,371,0,,D,,62.855493,-145.60599,N,yes,yes,,366,,,,,yes,yes,
2,2135,Roti Groot,1,11/24/2023,,,400,0,,D,,62.855493,-145.60599,N,yes,,yes,395,,,,,yes,yes,
2,2136,Roti Groot,1,11/24/2023,,,390,0,,D,,62.855493,-145.60599,N,yes,yes,,385,,,,,yes,yes,
2,2137,Roti Groot,1,11/24/2023,,,424,0,,D,,62.855493,-145.60599,N,yes,,yes,419,,,,,yes,,yes
2,2138,Roti Groot,1,11/24/2023,,,408,0,,D,,62.855493,-145.60599,N,yes,,yes,403,,,,,yes,,yes
2,2139,Roti Groot,1,11/24/2023,,,367,0,,D,,62.855493,-145.60599,N,yes,yes,,362,,,,,yes,yes,
2,2140,Roti Groot,1,11/24/2023,,,382,0,,D,,62.855493,-145.60599,N,yes,yes,,377,,,,,yes,yes,
2,2141,Roti Groot,1,11/24/2023,,,346,0,,D,,62.855493,-145.60599,N,yes,yes,,341,,,,,,,
2,2142,Roti Groot,1,11/24/2023,,,448,0,,D,,62.855493,-145.60599,N,yes,,yes,442,,,,,yes,,yes
2,2143,Roti Groot,1,11/24/2023,,,384,0,,D,,62.855493,-145.60599,N,yes,yes,,379,,,,,yes,yes,
2,2144,Roti Groot,1,11/24/2023,,,370,0,,D,,62.855493,-145.60599,N,yes,yes,,365,,,,,yes,yes,
2,2145,Roti Groot,1,11/24/2023,,,396,0,,D,,62.855493,-145.60599,N,yes,yes,,391,,,,,yes,yes,
2,2146,Roti Groot,1,11/24/2023,,,378,0,,D,,62.855493,-145.60599,N,yes,yes,,373,,,,,yes,yes,
2,2147,Roti Groot,1,11/24/2023,,,375,0,,D,,62.855493,-145.60599,N,yes,yes,,370,,,,,yes,yes,
2,2148,Roti Groot,1,11/24/2023,,,370,0,,D,,62.855493,-145.60599,N,yes,yes,,365,,,,,yes,yes,
2,2149,Roti Groot,1,11/24/2023,,,363,0,,D,,62.855493,-145.60599,N,yes,yes,,358,,,,,yes,yes,
2,2150,Roti Groot,1,11/24/2023,,,380,0,,D,,62.855493,-145.60599,N,yes,yes,,375,,,,,yes,yes,
2,2151,Roti Groot,1,11/24/2023,,,384,0,,D,,62.855493,-145.60599,N,yes,yes,,379,,,,,yes,yes,
2,2152,Roti Groot,1,11/24/2023,,,410,0,,D,,62.855493,-145.60599,N,yes,,yes,405,,,,,yes,,yes
2,2153,Roti Groot,1,11/24/2023,,,381,0,,D,,62.855493,-145.60599,N,yes,yes,,376,,,,,yes,yes,
2,2154,Roti Groot,1,11/24/2023,,,348,0,,D,,62.855493,-145.60599,N,yes,yes,,343,,,,,,,
2,2155,Roti Groot,1,11/24/2023,,,369,0,,D,,62.855493,-145.60599,N,yes,yes,,364,,,,,yes,yes,
2,2156,Roti Groot,1,11/24/2023,,,405,0,,D,,62.855493,-145.60599,N,yes,,yes,400,,,,,yes,,
2,2157,Roti Groot,1,11/24/2023,,,368,0,,D,,62.855493,-145.60599,N,yes,yes,,363,,,,,yes,yes,
2,2158,Roti Groot,1,11/24/2023,,,386,0,,D,,62.855493,-145.60599,N,yes,yes,,381,,,,,yes,yes,
2,2159,Roti Groot,1,11/24/2023,,,380,0,,D,,62.855493,-145.60599,N,yes,yes,,375,,,,,yes,yes,
